Year,Author,Title,Url
"2013","Lotfy P.","Performance evaluation of AODV under dos attacks",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84881453314&origin=inward
"2012","Farajollah-Zadeh L.","Intra-mode topology control scheduling: Based on the learning automata",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84866151674&origin=inward
"2015","Liu J.","A novel OLSR protocol with mobility prediction",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84964265991&origin=inward
"2014","Sharma D.","AODV-OF: An overhearing based reactive routing protocol for mobile Ad hoc networks",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84903831941&origin=inward
"2013","Keshavarz H.","Using routing table flag to improve performance of AODV routing protocol for VANETs environment",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876250401&origin=inward
"2007","Lee Y.","A lightweight implementation of RSVP-TE protocol for MPLS-TE signaling",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33947192449&origin=inward
"2016","Anand C.","Localized DoS Attack Detection Architecture for Reliable Data Transmission Over Wireless Sensor Network",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960434885&origin=inward
"2010","Yujun L.","The research on an AODV-BRL to increase reliability and reduce routing overhead in MANET",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78649535307&origin=inward
"2013","Mostajeran E.","A novel improved neighbor discovery method for an Intelligent-AODV in Mobile Ad hoc Networks",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883478234&origin=inward
"2011","Qin D.","Self-adaptive broadcasting algorithm based on a fairly converging model for mobile Ad Hoc network",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79958745528&origin=inward
"2012","Ayash M.","Improved AODV routing protocol to cope with high overhead in high mobility MANETs",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84867726555&origin=inward
"2005","Lee Y.","Implementing a scalable RSVP-TE protocol reducing message overhead in MPLS network",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84867380968&origin=inward
