Year,Author,Title,Url
"1974","","COMPUTER SCIENCE AND STATISTICS: 7TH ANNUAL SYMPOSIUM ON THE INTERFACE, 1973.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0015941685&origin=inward
"2011","Miyazaki S.","Special section on foundations of computer science-mathematical foundations and applications of algorithms and computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79951494046&origin=inward
"1988","Grabowski H.","Institute for computer science and application in planning and design",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=50849146408&origin=inward
"1983","George A.","PHILOSOPHY AND THE BIRTH OF COMPUTER SCIENCE.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0020649782&origin=inward
"2013","Doi N.","For the development of the computer science and the computational science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84878157527&origin=inward
"2010","Qihai Z.","Special issue: Recent trends and advances in computer science-technology and applications",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78651535902&origin=inward
"1982","Isenhour T.","Editorial: Journal of chemical information and computer sciences",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33845554749&origin=inward
"1983","Isenhour T.","Editorial: Journal of Chemical Information and Computer Sciences",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33845550957&origin=inward
"1993","Milne G.","Sections in the Journal of Chemical Information and Computer Sciences",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751386271&origin=inward
"1985","Isenhour T.","Journal of Chemical Information and Computer Sciences: Editorial",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33845378282&origin=inward
"1987","","ACM Computer Science Conference",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=45949114100&origin=inward
"1993","Balaban A.","Erratum: Correlations between chemical structure and normal boiling points of acyclic ethers, peroxides, acetals, and their sulfur analogues (Journal of Chemical Information and Computer Sciences (1992) 32 (237-244)).",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751385816&origin=inward
"1983","","Computer science education",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=48749149348&origin=inward
"1985","Young L.","Hiring qualified college graduates:Mis business majors versus computer science majors",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960639154&origin=inward
